URL ASSOCIÉ;ID CATEGORIE;ID EXPRESSION;TYPE;LABEL POUR TRADUCTION;SYNONYMES;DESCRIPTION (max 220 caractères);;;;;;;;;;;;;;;;;;;
accueil;700;;CATEGORIE;ACCUEIL;accueil, café;;;;;;;;;;;;;;;;;;;;
alimentation;600;;CATEGORIE;ALIMENTATION;alimentation,faim, bouffe, manger, soupe, repas;;;;;;;;;;;;;;;;;;;;
hygiene;300;;CATEGORIE;HYGIENE;hygiene,hygienique;;;;;;;;;;;;;;;;;;;;
formation-emploi;200;;CATEGORIE;FORMATION_EMPLOI;formation, emploi, travailler, travail,job;;;;;;;;;;;;;;;;;;;;
activites;800;;CATEGORIE;ACTIVITES;activites;;;;;;;;;;;;;;;;;;;;
sante;100;;CATEGORIE;SANTE;sante, soins, se soigner, hopital, LAM, lit medicalise, LHSS;;;;;;;;;;;;;;;;;;;;
conseil;400;;CATEGORIE;CONSEIL;conseil, soutien;;;;;;;;;;;;;;;;;;;;
technologie;500;;CATEGORIE;TECHNOLOGIE;technologie, numerique, pc, telephone, smartphone, informatique, internet;;;;;;;;;;;;;;;;;;;;
materiel;900;;CATEGORIE;MATERIEL;materiel, affaires;;;;;;;;;;;;;;;;;;;;
distribution-alimentaire;601;;CATEGORIE;DISTRIBUTION_ALIMENTAIRE;distribution alimentaire, manger, maraude, bouffe, soupe;Point d'arrêt d'une distribution alimentaire. <br><u>Attention :</u></b> Veuillez créer une structure par point de distribution.;;;;;;;;;;;;;;;;;;;
restauration-assise;602;;CATEGORIE;RESTAURATION_ASSISE;restauration assise, manger, restaurant;Repas ser+G23vis assis (petit déjeuner, déjeuner, goûter ou diner).;;;;;;;;;;;;;;;;;;;
douche;301;;CATEGORIE;DOUCHE;douche, laver, se laver, bain, bain-douche, piscine, propre;;;;;;;;;;;;;;;;;;;;
